[0.51033057851200003, 'K=', '16\n']
[0.51041666666700003, 'K=', '212\n']
[0.51094890510900004, 'K=', '89\n']
[0.51105651105700001, 'K=', '93\n']
[0.51106639839000001, 'K=', '3\n']
[0.51134020618599996, 'K=', '15\n']
[0.51139240506299999, 'K=', '105\n']
[0.51141552511400001, 'K=', '62\n']
[0.51156069364199996, 'K=', '154\n']
[0.511627906977, 'K=', '156\n']
[0.511688311688, 'K=', '115\n']
[0.51174934725800003, 'K=', '117\n']
[0.51219512195100003, 'K=', '172\n']
[0.51228070175399998, 'K=', '215\n']
[0.51234567901200001, 'K=', '176\n']
[0.51242236024800003, 'K=', '178\n']
[0.51269035532999996, 'K=', '106\n']
[0.51274787535400002, 'K=', '147\n']
[0.51296829971199998, 'K=', '153\n']
[0.51311953352799999, 'K=', '157\n']
[0.51333333333300002, 'K=', '200\n']
[0.51344743276299998, 'K=', '91\n']
[0.51360544217699999, 'K=', '206\n']
[0.51363636363599996, 'K=', '60\n']
[0.51367781155000003, 'K=', '171\n']
[0.51369863013700001, 'K=', '208\n']
[0.51412429378500002, 'K=', '146\n']
[0.51428571428600001, 'K=', '465\n']
[0.51443569553799995, 'K=', '119\n']
[0.51446945337600003, 'K=', '189\n']
[0.51452282157700002, 'K=', '18\n']
[0.51470588235299997, 'K=', '92\n']
[0.51475409836099995, 'K=', '195\n']
[0.51482479784400004, 'K=', '129\n']
[0.514925373134, 'K=', '98\n']
[0.51495016611300004, 'K=', '199\n']
[0.51515151515199997, 'K=', '203\n']
[0.51525423728800002, 'K=', '205\n']
[0.51532033426199997, 'K=', '141\n']
[0.51533742331300003, 'K=', '174\n']
[0.51540041067800002, 'K=', '13\n']
[0.51546391752599996, 'K=', '209\n']
[0.51549295774600001, 'K=', '145\n']
[0.51559251559300001, 'K=', '19\n']
[0.515679442509, 'K=', '213\n']
[0.51576576576599997, 'K=', '56\n']
[0.51675977653600003, 'K=', '142\n']
[0.51679586563299995, 'K=', '113\n']
[0.51689189189200002, 'K=', '204\n']
[0.51692307692299999, 'K=', '175\n']
[0.51724137931000003, 'K=', '152\n']
[0.51724137931000003, 'K=', '210\n']
